company,n_sites,name_variants,company_source,parent_codes,n_countries,countries,regions,verticals,customer_classes,best_segmentation,has_hq_site,fda_any,first_created,last_updated,n_flag_review
OTOKAR Otobus Karoseri,1,,global_hq_rollup,,1,Turkey,EMEA,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
Oak Industries,1,,site_name,Electr,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Ocean Spring & Metal Mfg Ltd,1,,site_name,,1,Hong Kong,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"Oakwood Laboratories, L.L.C.",1,,global_hq_rollup,Oakwoo,1,United States,North America,Life Sciences,Customer,,False,False,2020-10-31,2024-11-01,0
Oberto Sausage,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Objet Geometrics Ltd,1,,global_hq_rollup,,1,Israel,EMEA,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
Worthen Industries,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Oce Business Services,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Ocean Garden Products,1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Ocean Garden Products Inc.,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Worldwide Dispensers,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Oak Ridge Winery,1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Former Customer,,True,False,2024-02-24,2025-10-03,0
Northern Foods Limited,1,,site_name,,1,United Kingdom,EMEA,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Northern Iowa Die Casting,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Northridge Laboratories Inc.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Northrop Grumman Mission,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
XDC Consulting,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Northstar Photonics,1,,site_name,,1,United States,North America,,Prospect,,False,False,2022-10-25,2023-06-03,0
Northwest Alloys,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
O.R.A. Corp Dba Delimex,1,,site_name,Hjhein,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Northwest Swiss,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Norway Post,1,,global_hq_rollup,,1,Norway,EMEA,Other,Customer,,True,False,2020-10-31,2025-10-03,0
X-L Machine Company Inc.,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Norwest Leasing Inc.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Noumi Operations Pty Ltd,1,,global_hq_rollup,Freedo,1,Australia,Asia-Pacific,Food & Beverage,Customer,,False,False,2020-11-01,2025-10-03,0
Nova Pharm,1,,site_name,,1,Algeria,EMEA,Life Sciences,Former Customer,,False,False,2020-10-31,2025-10-03,0
"Novaia Technology(Shanghai) Co., Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Other,Customer,,True,False,2022-02-25,2025-10-03,0
X-Gen Pharmaceuticals,1,,global_hq_rollup,,1,United States,North America,Life Sciences,Customer,,False,False,2020-11-01,2025-10-03,0
Northwest Frozen,1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Former Customer,,True,False,2024-06-29,2025-10-03,0
XTENT,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Norilsk Nickel Harjavalta OY,1,,site_name,,1,Finland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"XPO Logistics Supply Chain Corporate Services, Inc.",1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-07-17,0
Norma Alejandra Cadena Cabrera,1,,site_name,,1,Mexico,Latin America,Other,Customer,,False,False,2021-06-23,2024-11-01,0
Norma China Co. Ltd,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Norma Do Brasil Sistemas De,1,,site_name,,1,Brazil,Latin America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Norma Group SE,1,,global_hq_rollup,,1,United States,North America,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Norris Edson Company Inc.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Northern Computers,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Norske Skogindustrier Asa,1,,global_hq_rollup,Norske,1,Thailand,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"XIAOGAN YAZAKI AUTO PARTS CO.,LTD",1,,site_name,Yazaki,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"North America Precision Metals, Inc.",1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"XIAMEN CITY YAPHA OPTOELECTRONICS TECHNOLOGY CO.,LTD",1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-07-17,0
North American Refractories,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
North American Spring,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
North American Stamping Group,1,,global_hq_rollup,,1,United States,North America,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
North Central Pennsylvania Regional Planning,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-27,2023-07-17,0
"XPO Enterprise Services,Inc.",1,,site_name,Xpocon,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Numetrix,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Nuplex Industries Limited,1,,global_hq_rollup,,1,United Kingdom,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Nuplex Resins B.V.,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"Wuxi SHARP Electronic Components Co., Ltd.",1,,site_name,United,1,China,Asia-Pacific,,Customer,,False,False,2021-07-07,2023-07-17,0
"Nutiva, Inc (Richmond,California)",1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Former Customer,,True,False,2024-02-24,2025-10-03,0
NutraMax,1,,global_hq_rollup,,1,United States,North America,Life Sciences,Former Customer,,False,False,2024-02-24,2025-10-03,0
Nutreco Holding,1,,global_hq_rollup,,1,Netherlands,EMEA,Food & Beverage,Customer,,False,False,2020-10-31,2025-10-03,0
Novartis Consumer Health,1,,site_name,Novart,1,Australia,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Nuture Inc.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Nuvaira, Inc",1,,global_hq_rollup,Nuvair,1,United States,North America,Life Sciences,Former Customer,C,True,True,2020-10-31,2025-10-03,0
Nysco Co. Ltd,1,,site_name,,1,Taiwan,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
O P U S Altus Ltd,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
O'Neal Industries,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
O'Neal Steel Inc.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
O.E. Manufacturing Sdn Bhd,1,,global_hq_rollup,,1,Malaysia,Asia-Pacific,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
O.P.U.S. Altus,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Nutriphar Sarl,1,,site_name,,1,Algeria,EMEA,Electronics,Former Customer,,False,False,2020-10-31,2025-10-03,0
Novartis Corporation,1,,site_name,Novart,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Novation LLC,1,,global_hq_rollup,,1,United States,North America,Life Sciences,Customer,,True,False,2020-10-31,2025-10-03,0
X TRA CONGELADOS S.DE P.R.,1,,global_hq_rollup,,1,Mexico,Latin America,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Noveal SAS,1,,global_hq_rollup,,1,France,EMEA,Life Sciences,Customer,,False,False,2020-10-31,2025-10-03,0
Novem Car Interior Design GmbH,1,,global_hq_rollup,,1,Mexico,Latin America,Automotive,Customer,,False,False,2021-09-10,2024-11-01,0
Wytwornia Materialow,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Novo Nordisk Biochem,1,,global_hq_rollup,,1,United States,North America,Life Sciences,Customer,,True,False,2020-10-31,2025-10-03,0
Novo Nordisk Biochemical,1,,site_name,,1,Denmark,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Numeric Computer System(NCS),1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Novolex,1,,global_hq_rollup,,1,United States,North America,Consumer Products,Former Customer,,False,False,2021-04-27,2025-10-03,0
Novoste Corporation,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Nu-Wool Company,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Wydzial Inzynierii Produkcji,1,,global_hq_rollup,,1,Poland,EMEA,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
"Nuance Communications, Inc",1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Nubiola Pigmentos S.A.,1,,global_hq_rollup,,1,Spain,EMEA,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Wyandotte Industries,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Nufarm Limited,1,,global_hq_rollup,,1,Australia,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Novoferm Nederland B.V.,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Yanfeng Visteon India Auto,1,,site_name,Yanfen,1,India,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Motor Wheel Corporation,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Motor Wheel De Mexico,1,,site_name,,1,Mexico,Latin America,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Motorcastings,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Yanfeng Visteon India,1,,site_name,Yanfen,1,India,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Motorola (China) Elect. Ltd.,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Yanfeng Visteon Betung Auto.,1,,site_name,Yanfen,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Nepera Inc.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Motorola Info. Systems,1,,site_name,,1,Israel,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Yanfeng USA Automotive Trim,1,,site_name,Yanfen,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Moussaoui Freres Lumiere SNC,1,,site_name,,1,Algeria,EMEA,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
"Moway Industrial Service (Shanghai) Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2022-05-11,2024-11-01,0
Moximed Inc.,1,,global_hq_rollup,,1,United States,North America,Life Sciences,Customer,,True,False,2020-10-31,2025-10-15,0
Mr Ian Harker,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Mr. Bob Tan c/o QAD Asia Ltd,1,,site_name,,1,Malaysia,Asia-Pacific,,Prospect,,False,False,2020-10-31,2021-01-08,0
Mr. Wisnuadji/Dir. Conv.Svc,1,,site_name,,1,Indonesia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Yanfeng Visteon (Beijing),1,,site_name,Viston,1,China,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Montis B.V.,1,,site_name,,1,Netherlands,EMEA,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Montupet Ltee,1,,site_name,,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Moog,1,,site_name,Moogin,1,Luxembourg,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Yantai Tri-circle Lock,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Yantai Shougang Magnetic Materials Inc.,1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,True,False,2021-05-14,2025-10-03,0
"Yantai Li'an Packaging Materials Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-07-20,2024-11-01,0
Moore Company The,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
MoreDirect,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Motor Vehicle Supplies & New Parts,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-07-17,0
Morgan Marshall,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Morrison Products, Inc.",1,,global_hq_rollup,Morris,1,United States,North America,Industrial,Customer,,False,False,2020-10-31,2024-11-01,0
Yangzhou Lear Hulane Automotive Parts Trading Co Ltd,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2022-10-22,2023-07-17,0
"Morton Salt, Inc. (HQ)",1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Former Customer,,True,False,2024-02-24,2025-10-03,0
Motherson Technology Services Limited,1,,site_name,Mssllt,1,India,Asia-Pacific,,Partner,,False,False,2021-07-18,2024-11-22,0
Motherwell Info. Systems,1,,site_name,,1,United Kingdom,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Motor Industry Res. Ass.,1,,global_hq_rollup,,1,United Kingdom,EMEA,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
Yangtze Optical Fibre and Cable Joint Stock Limited Company,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2023-02-28,2023-07-17,0
Morey,1,,global_hq_rollup,,1,United States,North America,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
Murad Corp,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Murali Krishna Ayyagari,1,,site_name,,1,India,Asia-Pacific,,Partner,,False,False,2022-01-26,2024-11-22,0
MusashiAutoParts (Zhongshan),1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Muscatine Holding Inc,1,,site_name,,1,Malaysia,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Mustad Hoofcare SA,1,,global_hq_rollup,,1,Netherlands,EMEA,Industrial,Customer,,False,False,2021-12-01,2024-11-01,0
Myers Industries Inc.,1,,global_hq_rollup,,1,United States,North America,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
Médex Médical France,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Yanfeng US Automotive Interior Systems II LLC,1,,site_name,Yautom,1,United States,North America,,Customer,,False,False,2020-10-31,2023-07-17,0
Yanfeng Slovakia Automotive Interior Systems s. r. o.,1,,site_name,Yautom,1,Slovakia,EMEA,,Customer,,False,False,2021-01-12,2023-07-17,0
Münchnener Rückversicherungs-Gesellschaft AG,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2021-01-14,2023-07-17,0
Yanfeng Slovakia Automotive,1,,site_name,Yautom,1,Slovakia,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"N S International, Ltd.",1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"N.S. COMPUTER SERVICE CO., LTD.",1,,site_name,,1,Japan,Asia-Pacific,,Partner,,False,False,2021-12-04,2024-11-22,0
N.V. Organon,1,,site_name,Mercka,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
NAPS-JUAREZ S. DE R.L. DE C.V.,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
NASA,1,,global_hq_rollup,,1,United States,North America,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Münchener Rückversicherungs-Gesellschaft,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2021-01-14,2023-07-17,0
Mrs. Katherine Story-Adams,1,,site_name,,1,Germany,EMEA,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Msas Cargo International,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Mubea Auto. India Pvt Ltd.,1,,site_name,Muhran,1,India,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Mudet Inc.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Mueller Copper Fittings Co.,1,,site_name,Muelle,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Yanfeng US Automotive Interior Systems I LLC,1,,site_name,Yanfen,1,United States,North America,,Customer,,False,False,2020-10-31,2023-07-17,0
Mueller Impacts,1,,site_name,Muelle,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Yanfeng US Automotive Int Sys LLC,1,,site_name,Yanfen,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Municipal Airport Authority City of Fargo,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-27,2023-07-17,0
Muenz-Engineered Sales Company (MESCO),1,,site_name,,1,United States,North America,Industrial,Customer,,False,False,2023-03-04,2024-11-01,0
Muge Industry Controls (Suzhou) Ltd.,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2023-02-24,2023-04-29,0
Mulfinger Associates Llc,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Mulgrew Aircraft Components,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Multifoods Incorporated,1,,site_name,,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Multilec S.A. De C.V.,1,,global_hq_rollup,,1,Mexico,Latin America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Multin Hittech B.V.,1,,site_name,,1,Netherlands,EMEA,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Yanfeng Spain Automotive Interior Systems SL,1,,site_name,Yautom,1,Spain,EMEA,,Customer,,False,False,2020-10-31,2023-07-17,0
Yanfeng US Auto Interiors Systems II LLC,1,,site_name,Yautom,1,United States,North America,,Customer,,False,False,2020-10-31,2023-07-17,0
"Yokohama Tire Manufacturing (Thailand) Co.,Ltd.",1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-07-17,0
Mitsubishi Turbocharger and,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Mitsuchi Corporation,1,,global_hq_rollup,Mitsuc,1,Japan,Asia-Pacific,Automotive,Customer,,False,False,2020-10-31,2024-11-01,0
"Mitsui Chemicals, Inc.",1,,global_hq_rollup,,1,Thailand,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Mitsui Siam Components,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Miura Manufacturing America,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Mizuno Corporation,1,,global_hq_rollup,Mizuno,1,Japan,Asia-Pacific,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
"Yantai Winhere Auto-Part Manufacturing Co.,Ltd.",1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-07-17,0
Mobile Bus.Communication BV,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Yokohama Rubber (Thailand),1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Mobile Foreign-Trade Zone,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-27,2023-04-29,0
Mobrey,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Yokogawa Electric Corporation,1,,global_hq_rollup,,1,China,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Model Crafts LLC,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Modern Molded Products Ltd,1,,site_name,,1,Taiwan,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Modine Manuf - Lawrenceburg,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Mobarte SA de CV,1,,site_name,,1,Mexico,Latin America,,Prospect,,False,False,2020-10-31,2023-04-28,0
